,y_intvl_openness_2,y_intvl_conscientiousness_2,y_intvl_extroversion_2,y_intvl_agreeableness_2,y_intvl_neuroticism_2,y_scie,y_math,y_sport,y_ent,y_hist,y_geo,y_arch,y_pctl_extroversion,y_pctl_neuroticism,y_pctl_agreeableness,y_pctl_conscientiousness,y_pctl_openness,y_intvl_openness,y_intvl_conscientiousness,y_intvl_extroversion,y_intvl_agreeableness,y_intvl_neuroticism,alfa_norm,beta_norm,scie_norm,math_norm,sport_norm,ent_norm,hist_norm,geo_norm,arch_norm,do_question_norm,do_question_single_norm,do_question_group_norm,collect_norm,total_answers_norm,total_categories_norm,age,sex,alfa,beta,scie,math,sport,ent,hist,geo,arch,do_question,do_question_single,do_question_group,collect,total_answers,total_categories,wet1,wet2,ges3,wis1,spo1,wis4,spo2,spo3,aar3,wis2,wis3,ent1,ent2,spo4,arc2,wet3,wet4,spo6,ges1,aar4,ent3,arc1,arc3,aar1,aar2,ges2,wet5
y_geo,0.26,-0.1,0.07,0.03,-0.02,0.1,-0.09,-0.1,-0.05,0.36,1.0,0.33,0.08,0.11,-0.0,-0.08,0.24,0.25,-0.07,0.07,-0.03,0.07,0.25,0.06,0.05,0.04,-0.09,-0.19,0.32,0.24,0.17,-0.12,-0.28,0.08,0.17,0.13,-0.04,-0.01,0.07,0.25,0.06,0.05,0.04,-0.09,-0.19,0.32,0.24,0.17,-0.12,-0.28,0.08,0.17,0.13,-0.04,0.1,0.08,0.26,-0.05,0.11,0.12,-0.24,-0.22,0.21,-0.06,0.07,-0.23,-0.15,-0.01,0.17,-0.12,-0.01,-0.0,0.24,0.26,0.0,-0.11,0.16,-0.16,0.2,0.21,0.1
y_arch,0.26,-0.0,0.12,0.2,0.13,0.1,-0.14,-0.21,0.01,0.26,0.33,1.0,0.2,0.16,0.09,-0.04,0.34,0.25,-0.04,0.19,0.07,0.13,0.48,0.1,0.04,0.1,0.11,-0.06,0.42,0.32,0.53,0.25,0.12,0.3,0.12,0.33,0.22,0.03,0.02,0.48,0.1,0.04,0.1,0.11,-0.06,0.42,0.32,0.53,0.25,0.12,0.3,0.12,0.33,0.22,-0.11,-0.08,0.21,0.01,0.11,0.02,-0.24,-0.0,0.31,0.11,0.17,-0.13,0.1,0.09,0.22,0.15,0.14,0.17,0.49,0.31,-0.12,0.34,0.36,-0.05,0.2,0.05,0.05
y_pctl_extroversion,0.31,-0.13,0.86,0.5,0.11,-0.04,-0.11,0.19,0.16,0.03,0.08,0.2,1.0,0.08,0.53,0.02,0.26,0.29,-0.06,0.92,0.51,0.1,-0.04,-0.05,-0.05,-0.03,0.17,-0.02,-0.07,0.08,0.02,0.22,0.09,0.27,-0.13,0.03,0.01,-0.11,0.03,-0.04,-0.05,-0.05,-0.03,0.17,-0.02,-0.07,0.08,0.02,0.22,0.09,0.27,-0.13,0.03,0.01,-0.17,-0.21,-0.09,-0.07,0.02,-0.06,0.2,0.11,0.18,-0.08,0.09,-0.06,0.03,0.06,0.06,0.03,0.23,-0.06,0.02,0.15,-0.02,0.03,-0.05,-0.02,0.03,-0.13,-0.08
y_pctl_neuroticism,-0.01,0.0,0.1,-0.05,0.87,0.06,-0.01,0.08,0.14,0.12,0.11,0.16,0.08,1.0,-0.07,0.05,-0.02,-0.04,0.06,0.05,-0.06,0.92,0.14,0.09,0.09,0.07,-0.01,-0.18,0.12,0.05,0.11,0.14,0.09,0.11,0.09,0.05,0.16,0.15,0.39,0.14,0.09,0.09,0.07,-0.01,-0.18,0.12,0.05,0.11,0.14,0.09,0.11,0.09,0.05,0.16,0.02,-0.03,0.06,0.02,-0.04,0.16,0.0,0.06,0.04,-0.15,0.12,-0.17,-0.01,-0.21,0.08,0.17,0.08,-0.13,0.13,0.03,-0.27,0.11,-0.03,-0.06,0.05,0.18,0.06
y_pctl_agreeableness,0.32,0.13,0.49,0.78,-0.05,-0.02,-0.3,-0.11,0.04,0.02,-0.0,0.09,0.53,-0.07,1.0,0.27,0.4,0.35,0.17,0.46,0.92,-0.07,-0.08,-0.04,-0.09,0.02,0.08,0.16,-0.07,0.09,-0.06,0.08,0.0,0.13,-0.05,0.06,0.07,0.22,-0.16,-0.08,-0.04,-0.09,0.02,0.08,0.16,-0.07,0.09,-0.06,0.08,0.0,0.13,-0.05,0.06,0.07,-0.09,-0.09,-0.02,-0.04,0.11,-0.07,0.08,-0.01,0.1,-0.02,0.16,0.08,0.19,0.29,-0.13,-0.05,-0.01,0.07,-0.04,-0.01,0.09,-0.06,0.07,0.06,0.14,-0.11,-0.03
y_pctl_conscientiousness,0.18,0.84,-0.07,0.16,0.0,-0.05,-0.05,-0.17,-0.12,-0.04,-0.08,-0.04,0.02,0.05,0.27,1.0,0.26,0.25,0.94,-0.05,0.18,0.02,0.06,0.07,0.03,0.09,0.05,0.09,0.07,0.14,0.03,0.02,0.04,0.01,0.14,0.15,0.15,0.28,-0.07,0.06,0.07,0.03,0.09,0.05,0.09,0.07,0.14,0.03,0.02,0.04,0.01,0.14,0.15,0.15,0.1,0.03,0.1,0.12,0.05,-0.03,0.06,-0.06,0.07,0.03,0.14,0.09,0.06,0.32,-0.11,0.05,-0.23,0.11,0.11,-0.02,0.04,-0.01,0.09,-0.03,0.17,0.0,0.18
y_pctl_openness,0.85,0.19,0.19,0.29,-0.12,0.25,-0.02,-0.3,-0.2,0.25,0.24,0.34,0.26,-0.02,0.4,0.26,1.0,0.87,0.25,0.2,0.35,-0.04,0.3,0.17,0.09,0.18,-0.12,-0.06,0.32,0.17,0.25,0.04,-0.04,0.1,0.11,0.22,0.11,0.15,0.02,0.3,0.17,0.09,0.18,-0.12,-0.06,0.32,0.17,0.25,0.04,-0.04,0.1,0.11,0.22,0.11,0.1,0.03,0.35,0.14,-0.02,0.18,-0.11,-0.16,0.1,0.09,0.11,-0.06,-0.09,0.11,-0.02,-0.01,0.05,-0.01,0.32,0.11,0.08,0.06,0.3,-0.08,0.23,0.03,0.14
y_intvl_openness,0.97,0.13,0.21,0.23,-0.08,0.17,0.1,-0.25,-0.22,0.18,0.25,0.25,0.29,-0.04,0.35,0.25,0.87,1.0,0.22,0.21,0.29,-0.0,0.3,0.14,0.07,0.15,-0.06,-0.02,0.32,0.1,0.26,0.09,-0.03,0.19,0.07,0.22,0.09,0.17,0.02,0.3,0.14,0.07,0.15,-0.06,-0.02,0.32,0.1,0.26,0.09,-0.03,0.19,0.07,0.22,0.09,0.08,-0.04,0.32,0.08,0.04,0.12,-0.1,-0.06,0.11,0.1,0.14,-0.13,-0.05,0.11,0.04,-0.04,0.16,-0.12,0.29,-0.01,0.2,0.07,0.28,-0.06,0.18,0.07,0.09
y_intvl_conscientiousness,0.16,0.9,-0.11,0.11,-0.0,-0.05,-0.01,-0.17,-0.18,-0.08,-0.07,-0.04,-0.06,0.06,0.17,0.94,0.25,0.22,1.0,-0.11,0.1,0.03,0.08,0.07,0.01,0.1,0.06,0.05,0.09,0.14,0.04,0.04,0.04,0.03,0.15,0.16,0.12,0.21,-0.07,0.08,0.07,0.01,0.1,0.06,0.05,0.09,0.14,0.04,0.04,0.04,0.03,0.15,0.16,0.12,0.11,0.05,0.11,0.11,0.07,-0.02,0.05,-0.01,0.08,0.11,0.12,0.08,0.0,0.29,-0.11,0.01,-0.23,0.13,0.09,-0.05,0.01,0.0,0.11,0.01,0.16,0.05,0.14
y_intvl_extroversion,0.24,-0.19,0.91,0.48,0.07,-0.04,-0.09,0.14,0.18,0.03,0.07,0.19,0.92,0.05,0.46,-0.05,0.2,0.21,-0.11,1.0,0.43,0.04,-0.04,-0.04,-0.04,-0.01,0.17,-0.07,-0.09,0.1,0.02,0.24,0.09,0.32,-0.08,0.03,-0.0,-0.15,0.01,-0.04,-0.04,-0.04,-0.01,0.17,-0.07,-0.09,0.1,0.02,0.24,0.09,0.32,-0.08,0.03,-0.0,-0.19,-0.25,-0.11,-0.02,0.08,-0.08,0.14,0.15,0.19,-0.08,0.12,-0.08,0.01,-0.01,0.02,0.01,0.25,-0.04,0.03,0.13,-0.1,0.11,-0.08,-0.07,0.07,-0.12,-0.02
y_intvl_agreeableness,0.27,0.05,0.47,0.84,-0.02,0.01,-0.35,-0.08,0.06,-0.03,-0.03,0.07,0.51,-0.06,0.92,0.18,0.35,0.29,0.1,0.43,1.0,-0.05,-0.06,-0.02,-0.04,0.01,0.1,0.17,-0.06,0.12,-0.04,0.11,0.01,0.15,-0.04,0.08,0.07,0.22,-0.14,-0.06,-0.02,-0.04,0.01,0.1,0.17,-0.06,0.12,-0.04,0.11,0.01,0.15,-0.04,0.08,0.07,-0.02,-0.06,0.0,-0.08,0.08,-0.05,0.09,0.0,0.12,-0.05,0.17,0.11,0.19,0.3,-0.08,-0.05,0.02,0.12,-0.07,0.04,0.06,-0.03,0.07,0.04,0.15,-0.12,-0.02
y_intvl_neuroticism,0.02,0.01,0.11,-0.06,0.94,0.02,0.02,0.06,0.17,0.04,0.07,0.13,0.1,0.92,-0.07,0.02,-0.04,-0.0,0.03,0.04,-0.05,1.0,0.1,-0.0,0.01,0.0,0.02,-0.14,0.09,-0.04,0.09,0.13,0.1,0.08,0.02,-0.0,0.11,0.12,0.36,0.1,-0.0,0.01,0.0,0.02,-0.14,0.09,-0.04,0.09,0.13,0.1,0.08,0.02,-0.0,0.11,-0.05,-0.07,0.03,-0.03,-0.04,0.1,0.08,0.11,-0.0,-0.21,0.08,-0.17,0.02,-0.2,0.04,0.12,0.05,-0.16,0.15,-0.09,-0.2,0.09,-0.04,-0.07,0.02,0.13,-0.0
alfa_norm,0.3,0.04,-0.03,0.05,0.1,0.17,0.12,-0.14,-0.01,0.32,0.25,0.48,-0.04,0.14,-0.08,0.06,0.3,0.3,0.08,-0.04,-0.06,0.1,1.0,0.39,0.34,0.31,0.21,0.17,0.96,0.46,0.92,0.44,0.32,0.38,0.32,0.75,0.52,0.14,0.19,1.0,0.39,0.34,0.31,0.21,0.17,0.96,0.46,0.92,0.44,0.32,0.38,0.32,0.75,0.52,0.2,0.26,0.7,0.13,0.08,0.18,-0.13,0.03,0.27,0.23,0.35,-0.02,0.23,-0.04,0.54,0.24,0.19,0.08,0.72,0.37,0.19,0.49,0.7,0.07,0.36,0.42,0.11
beta_norm,0.14,0.01,-0.04,0.02,-0.01,0.4,0.42,-0.02,-0.16,-0.0,0.06,0.1,-0.05,0.09,-0.04,0.07,0.17,0.14,0.07,-0.04,-0.02,-0.0,0.39,1.0,0.85,0.85,0.12,-0.05,0.39,0.34,0.29,0.32,0.28,0.26,0.3,0.72,0.58,0.19,0.32,0.39,1.0,0.85,0.85,0.12,-0.05,0.39,0.34,0.29,0.32,0.28,0.26,0.3,0.72,0.58,0.68,0.63,0.42,0.6,0.07,0.71,-0.07,0.07,0.21,0.56,0.61,-0.08,0.08,-0.02,0.26,0.53,0.29,0.02,0.23,0.25,-0.13,0.11,0.17,0.07,-0.0,0.16,0.36
scie_norm,0.07,-0.03,-0.05,-0.02,-0.02,0.36,0.21,0.05,-0.06,0.04,0.05,0.04,-0.05,0.09,-0.09,0.03,0.09,0.07,0.01,-0.04,-0.04,0.01,0.34,0.85,1.0,0.45,0.2,0.0,0.34,0.42,0.24,0.41,0.36,0.34,0.43,0.65,0.47,0.19,0.36,0.34,0.85,1.0,0.45,0.2,0.0,0.34,0.42,0.24,0.41,0.36,0.34,0.43,0.65,0.47,0.69,0.72,0.36,0.29,0.03,0.43,0.05,0.13,0.23,0.29,0.28,-0.12,0.18,0.03,0.26,0.56,0.43,0.03,0.15,0.21,-0.08,0.12,0.12,0.14,-0.06,0.18,0.53
math_norm,0.17,0.03,-0.02,0.04,0.01,0.33,0.51,-0.07,-0.2,-0.05,0.04,0.1,-0.03,0.07,0.02,0.09,0.18,0.15,0.1,-0.01,0.01,0.0,0.31,0.85,0.45,1.0,0.0,-0.08,0.32,0.16,0.24,0.13,0.11,0.1,0.1,0.57,0.53,0.14,0.19,0.31,0.85,0.45,1.0,0.0,-0.08,0.32,0.16,0.24,0.13,0.11,0.1,0.1,0.57,0.53,0.47,0.36,0.36,0.74,0.09,0.78,-0.18,-0.0,0.13,0.65,0.76,-0.01,-0.03,-0.06,0.19,0.35,0.06,0.01,0.22,0.21,-0.16,0.06,0.16,-0.01,0.04,0.09,0.1
sport_norm,-0.02,-0.03,0.17,0.1,0.02,0.07,0.09,0.5,0.18,-0.16,-0.09,0.11,0.17,-0.01,0.08,0.05,-0.12,-0.06,0.06,0.17,0.1,0.02,0.21,0.12,0.2,0.0,1.0,0.27,0.2,0.12,0.24,0.51,0.4,0.42,0.18,0.43,0.22,-0.1,0.14,0.21,0.12,0.2,0.0,1.0,0.27,0.2,0.12,0.24,0.51,0.4,0.42,0.18,0.43,0.22,-0.02,0.06,0.01,-0.1,0.66,0.01,0.55,0.52,0.18,-0.01,0.06,0.17,0.28,0.25,0.47,0.23,0.28,0.42,0.07,-0.04,0.12,0.06,0.08,0.16,-0.1,0.09,0.03
ent_norm,-0.06,0.06,-0.05,0.12,-0.15,-0.15,-0.17,0.08,0.25,0.11,-0.19,-0.06,-0.02,-0.18,0.16,0.09,-0.06,-0.02,0.05,-0.07,0.17,-0.14,0.17,-0.05,0.0,-0.08,0.27,1.0,0.22,0.19,0.19,0.19,0.05,0.29,-0.11,0.39,0.49,-0.1,-0.1,0.17,-0.05,0.0,-0.08,0.27,1.0,0.22,0.19,0.19,0.19,0.05,0.29,-0.11,0.39,0.49,0.04,0.11,0.14,-0.1,0.23,-0.12,0.12,0.01,0.12,-0.04,0.02,0.77,0.78,0.21,0.13,-0.01,0.13,0.12,0.26,0.18,0.63,-0.06,0.16,0.14,0.31,-0.01,-0.25
hist_norm,0.3,0.05,-0.06,0.05,0.06,0.19,0.16,-0.12,-0.07,0.4,0.32,0.42,-0.07,0.12,-0.07,0.07,0.32,0.32,0.09,-0.09,-0.06,0.09,0.96,0.39,0.34,0.32,0.2,0.22,1.0,0.44,0.83,0.3,0.15,0.32,0.36,0.73,0.5,0.15,0.25,0.96,0.39,0.34,0.32,0.2,0.22,1.0,0.44,0.83,0.3,0.15,0.32,0.36,0.73,0.5,0.22,0.3,0.74,0.16,0.14,0.19,-0.15,-0.06,0.23,0.22,0.35,-0.01,0.27,-0.03,0.58,0.18,0.15,0.07,0.72,0.34,0.24,0.23,0.7,0.04,0.39,0.46,0.15
geo_norm,0.11,0.06,0.06,0.16,-0.05,0.07,-0.08,-0.0,0.04,0.29,0.24,0.32,0.08,0.05,0.09,0.14,0.17,0.1,0.14,0.1,0.12,-0.04,0.46,0.34,0.42,0.16,0.12,0.19,0.44,1.0,0.37,0.53,0.28,0.63,0.54,0.64,0.45,0.03,0.09,0.46,0.34,0.42,0.16,0.12,0.19,0.44,1.0,0.37,0.53,0.28,0.63,0.54,0.64,0.45,0.14,0.23,0.3,0.09,0.04,0.14,0.03,0.01,0.66,0.13,0.11,0.01,0.31,-0.0,0.11,0.09,0.23,0.2,0.39,0.55,0.07,0.2,0.29,0.31,0.44,0.32,0.53
arch_norm,0.27,0.04,-0.02,0.06,0.08,0.06,0.05,-0.17,0.05,0.2,0.17,0.53,0.02,0.11,-0.06,0.03,0.25,0.26,0.04,0.02,-0.04,0.09,0.92,0.29,0.24,0.24,0.24,0.19,0.83,0.37,1.0,0.45,0.35,0.36,0.08,0.67,0.49,0.08,0.1,0.92,0.29,0.24,0.24,0.24,0.19,0.83,0.37,1.0,0.45,0.35,0.36,0.08,0.67,0.49,0.17,0.19,0.49,0.1,0.04,0.12,-0.13,0.11,0.22,0.17,0.3,0.03,0.2,-0.03,0.55,0.19,0.18,0.08,0.75,0.36,0.21,0.6,0.76,0.08,0.32,0.12,-0.03
do_question_norm,0.13,-0.08,0.21,0.11,0.14,-0.02,0.02,0.21,0.26,-0.02,-0.12,0.25,0.22,0.14,0.08,0.02,0.04,0.09,0.04,0.24,0.11,0.13,0.44,0.32,0.41,0.13,0.51,0.19,0.3,0.53,0.45,1.0,0.83,0.82,0.17,0.63,0.46,-0.02,0.05,0.44,0.32,0.41,0.13,0.51,0.19,0.3,0.53,0.45,1.0,0.83,0.82,0.17,0.63,0.46,0.07,0.06,0.17,-0.06,0.12,0.15,0.42,0.57,0.54,0.09,0.15,0.04,0.24,-0.09,0.16,0.49,0.51,0.11,0.27,0.12,0.13,0.57,0.2,0.4,0.14,0.16,0.07
do_question_single_norm,0.02,-0.04,0.05,-0.01,0.11,0.03,0.04,0.2,0.3,-0.11,-0.28,0.12,0.09,0.09,0.0,0.04,-0.04,-0.03,0.04,0.09,0.01,0.1,0.32,0.28,0.36,0.11,0.4,0.05,0.15,0.28,0.35,0.83,1.0,0.38,0.07,0.45,0.39,0.03,0.04,0.32,0.28,0.36,0.11,0.4,0.05,0.15,0.28,0.35,0.83,1.0,0.38,0.07,0.45,0.39,0.1,0.08,0.08,-0.04,0.03,0.15,0.47,0.44,0.17,0.02,0.13,-0.04,0.12,-0.09,0.05,0.62,0.24,0.12,0.17,-0.01,-0.0,0.62,0.08,0.54,-0.01,0.07,-0.0
do_question_group_norm,0.21,-0.08,0.29,0.18,0.09,-0.02,0.01,0.16,0.12,0.09,0.08,0.3,0.27,0.11,0.13,0.01,0.1,0.19,0.03,0.32,0.15,0.08,0.38,0.26,0.34,0.1,0.42,0.29,0.32,0.63,0.36,0.82,0.38,1.0,0.23,0.59,0.39,-0.1,0.05,0.38,0.26,0.34,0.1,0.42,0.29,0.32,0.63,0.36,0.82,0.38,1.0,0.23,0.59,0.39,0.01,0.01,0.21,-0.04,0.15,0.1,0.22,0.49,0.75,0.12,0.1,0.1,0.33,-0.04,0.17,0.18,0.63,0.08,0.27,0.21,0.23,0.31,0.23,0.16,0.25,0.19,0.16
collect_norm,0.08,0.03,-0.04,0.03,0.02,0.21,0.03,0.07,-0.16,0.17,0.17,0.12,-0.13,0.09,-0.05,0.14,0.11,0.07,0.15,-0.08,-0.04,0.02,0.32,0.3,0.43,0.1,0.18,-0.11,0.36,0.54,0.08,0.17,0.07,0.23,1.0,0.36,0.2,0.17,0.29,0.32,0.3,0.43,0.1,0.18,-0.11,0.36,0.54,0.08,0.17,0.07,0.23,1.0,0.36,0.2,0.09,0.26,0.17,-0.01,0.12,0.1,0.06,0.01,0.33,0.07,0.09,-0.2,0.09,0.15,0.03,0.07,0.07,0.36,0.14,0.12,-0.17,-0.02,0.04,0.03,0.06,0.79,0.77
total_answers_norm,0.23,0.08,0.01,0.13,-0.01,0.25,0.19,0.05,0.02,0.15,0.13,0.33,0.03,0.05,0.06,0.15,0.22,0.22,0.16,0.03,0.08,-0.0,0.75,0.72,0.65,0.57,0.43,0.39,0.73,0.64,0.67,0.63,0.45,0.59,0.36,1.0,0.75,0.11,0.17,0.75,0.72,0.65,0.57,0.43,0.39,0.73,0.64,0.67,0.63,0.45,0.59,0.36,1.0,0.75,0.45,0.49,0.58,0.34,0.26,0.42,0.08,0.16,0.46,0.4,0.49,0.2,0.43,0.11,0.44,0.41,0.36,0.26,0.55,0.45,0.22,0.33,0.47,0.22,0.28,0.29,0.21
